Variable,,,
EPSC_G1F,32.9,,1 Yr Avg
EPSC_G2Y3,71.8,,3 Yr Avg
EPSC_G3Y4,71.2,,4 Yr Avg
DIV_Y7Y1,0,,1 Yr Avg
EPS_Y7Y1,6,,1 Yr Avg
RPE,66,,P Yr Avg
RPE_EY0,67,,0 Yr Ago
RPE_EY1,69,,1 Yr Ago
RPE_EY2,70,,2 Yr Ago
RPE_1T,70,,1 Yr Ago
RPE_A3Y,70,,3 Yr Avg
RPE_A5Y,77,,5 Yr Avg
RPE_A7Y,92,,7 Yr Avg
RPEA_Y1,57,,1 Yr Ago
RPEA_Y2,65,,2 Yr Ago
RPEA_Y3,81,,3 Yr Ago
RPEA_Y4,79,,4 Yr Ago
RPEA_Y5,81,,5 Yr Ago
RPEA_Y6,91,,6 Yr Ago
RPEA_Y7,96,,7 Yr Ago
RPEH_A3Y,72,,3 Yr Avg
RPEH_A5Y,81,,5 Yr Avg
RPEH_A7Y,92,,7 Yr Avg
RPEL_A3Y,60,,3 Yr Avg
RPEL_A5Y,67,,5 Yr Avg
RPEL_A7Y,89,,7 Yr Avg
RPE_AEPS3Y,84,,3 Yr Avg
RPBVPS,92,,P Yr Avg
RPBVPS_1T,91,,1 Yr Ago
RPBVPS_A3Y,91,,3 Yr Avg
RPBVPS_A5Y,92,,5 Yr Avg
RPBVPS_A7Y,90,,7 Yr Avg
RPSPS,82,,S Yr Avg
RPSPS_1T,80,,1 Yr Ago
RPSPS_A3Y,76,,3 Yr Avg
RPSPS_A5Y,75,,5 Yr Avg
RPSPS_A7Y,71,,7 Yr Avg
RPCFPS,75,,P Yr Avg
RPCFPS_1T,NA,,1 Yr Ago
RPCFPS_A3Y,NA,,3 Yr Avg
RPCFPS_A5Y,NA,,5 Yr Avg
RPCFPS_A7Y,NA,,7 Yr Avg
RPFCPS,70,,P Yr Avg
RPFCPS_1T,57,,1 Yr Ago
RPFCPS_A3Y,52,,3 Yr Avg
RPFCPS_A5Y,56,,5 Yr Avg
RPFCPS_A7Y,67,,7 Yr Avg
